Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Albert Pujols",,,640,531,177,98,38,1,40,109,138,102,,60,7,,,,5,2,0.3333333333333333,0.159375,0.09375,1.7,0.446875,0.6346516007532956,0.4614134352654219,1.0815266007532958,0.3013182674199623,3.1816477927088704,0.31786542923433875,,-0.37240054085850716,146.88276400128277,70.1870404676524,185.13292386340737,-0.37240054085850716,,67.14449822986397,-11.757789535567314,7.65729707437062,,,,,,,,1283,,1283,,,,,,,,,,,,,,,,,,,,"Albert Pujols","1177",405395
"Hanley Ramirez","CLE",,670,596,191,120,40,4,27,115,84,67,,107,7,,,,36,11,0.32046979865771813,0.1,0.15970149253731344,0.6261682242990654,0.39552238805970147,0.5369127516778524,0.40478496569306105,0.9324351397375539,0.21644295302013422,6.385671787706505,0.354978354978355,,2.0774164274334908,122.42396494948702,42.13312937521772,147.3806022255661,2.0774164274334908,,41.4152412136777,7.385361552028218,7.0974716283256924,,,,,,,,1125.8,,1125.8,,,,,,,,,,,,,,,,,,,,"Hanley Ramirez","8001",434670
"Joe Mauer",,,572,497,167,114,31,3,19,84,84,73,,55,2,,,,4,1,0.33601609657947684,0.12762237762237763,0.09615384615384616,1.3272727272727274,0.4230769230769231,0.5251509054325956,0.4148602694064587,0.9482278285095187,0.18913480885311873,3.735547271576289,0.34988179669030733,,-0.10577724501490593,109.27817381063254,40.731370902450394,154.09747289608785,-0.10577724501490593,,38.23915451580437,10.508524397413286,6.768246903670921,,,,,,,,953.6,,953.6,,,,,,,,,,,,,,,,,,,,"Joe Mauer","1857",408045
"Chase Utley",,,658,564,170,102,36,4,28,111,99,71,,105,23,,,,16,1,0.30141843971631205,0.10790273556231003,0.1595744680851064,0.6761904761904762,0.4012158054711246,0.5283687943262412,0.4053477161198764,0.9295845997973657,0.22695035460992913,6.088546296655374,0.3294663573085847,,2.276245728135109,120.53720118328664,41.68441042527292,147.75576926213625,2.276245728135109,,41.215416721251955,2.4176954732510287,6.54076205017084,,,,,,,,1088,,1088,,,,,,,,,,,,,,,,,,,,"Chase Utley","1679",400284
"David Wright",,,654,566,174,111,37,2,24,104,101,84,,130,4,,,,24,7,0.30742049469964666,0.12844036697247707,0.19877675840978593,0.6461538461538462,0.40061162079510704,0.5070671378091873,0.3974756061666238,0.9076787586042944,0.19964664310954067,5.2153776254130095,0.3640776699029126,,1.3461618982255459,115.55128263083792,37.17784014490938,142.5076947658992,1.3461618982255459,,35.79545099658466,2.402998236331569,5.983763153200571,,,,,,,,1042.7,,1042.7,,,,,,,,,,,,,,,,,,,,"David Wright","3787",431151
"Alex Rodriguez",,,558,477,134,78,25,1,30,86,93,69,,106,12,,,,15,3,0.2809224318658281,0.12365591397849462,0.18996415770609318,0.6509433962264151,0.38530465949820786,0.5262054507337526,0.39636617963032056,0.9115101102319605,0.24528301886792447,4.776992018920796,0.30498533724340177,,1.3304742090404034,98.07820782757108,31.209123871687098,141.76807690674872,1.3304742090404034,,30.211568288716723,2.0502645502645502,5.072443284849375,,,,,,,,896.6999999999999,,896.6999999999999,,,,,,,,,,,,,,,,,,,,"Alex Rodriguez","1274",121347
"Prince Fielder",,,687,582,161,85,33,2,41,101,142,94,,139,11,,,,2,1,0.2766323024054983,0.13682678311499272,0.20232896652110627,0.6762589928057554,0.38719068413391555,0.5515463917525774,0.40506972157799,0.9387370758864929,0.27491408934707906,2.806782335680988,0.29850746268656714,,-0.508345402777195,125.69185652418305,43.3637907935517,147.57043952537813,-0.508345402777195,,39.98921516297627,-12.5,5.021305152152479,,,,,,,,1128.1,,1128.1,,,,,,,,,,,,,,,,,,,,"Prince Fielder","4613",425902
"Pablo Sandoval",,,645,597,191,122,43,4,22,85,110,44,,81,4,,,,2,2,0.31993299832495814,0.06821705426356589,0.12558139534883722,0.5432098765432098,0.3705426356589147,0.5159128978224455,0.3847679182540539,0.8864555334813602,0.1959798994974874,3.294796061769619,0.34210526315789475,,-0.8773789331316948,107.1898585197408,29.894949646003937,134.03590089664016,-0.8773789331316948,,26.326568533935053,2.3699294532627864,5.0032756733112125,,,,,,,,969.0999999999998,,969.0999999999998,,,,,,,,,,,,,,,,,,,,"Pablo Sandoval","5409",467055
"Evan Longoria",,,644,570,155,80,40,1,34,88,104,66,,139,8,,,,8,0,0.2719298245614035,0.10248447204968944,0.21583850931677018,0.4748201438848921,0.3555900621118012,0.5245614035087719,0.3802067148759498,0.8801514656205731,0.2526315789473684,4.1320651195871,0.3047858942065491,,1.2045046463608742,104.5970117126054,27.42193990688983,130.9950979527118,1.2045046463608742,,25.939614470714975,2.3662551440329214,4.960885081391783,,,,,,,,976.5,,976.5,,,,,,,,,,,,,,,,,,,,"Evan Longoria","9368",446334
"Matt Holliday",,,637,562,173,105,38,4,26,104,125,66,,112,9,,,,10,3,0.30782918149466193,0.10361067503924647,0.17582417582417584,0.5892857142857143,0.3893249607535322,0.5284697508896797,0.3987635607060682,0.9177947116432119,0.2206405693950178,5.125067835200343,0.3466981132075472,,0.2765430063009262,113.22542824485834,36.889215915291864,143.36633132089014,0.2765430063009262,,34.50813351386722,-7.021604938271605,4.855766283113906,,,,,,,,1019.7999999999998,,1019.7999999999998,,,,,,,,,,,,,,,,,,,,"Matt Holliday","1873",407812
