Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",148,643,543,152,82,24,0,46,106,120,91,10,168,5,4,0,,9,2,0.27992633517495397,0.14152410575427682,0.26127527216174184,0.5416666666666666,0.3856920684292379,0.578268876611418,0.40671817565227947,0.9639609450406559,0.29834254143646405,3.480172663681347,0.3183183183183183,,0.31027505174279213,123.0604252220691,49.535656549185575,169.81228099085288,0.31027505174279213,,50.824087117016376,3.9122574955908282,7.882379517204355,,,,,,,,1109.7,7.497972972972973,1109.7,7.497972972972973,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Trea Turner","PHI",146,652,598,180,117,35,4,24,101,86,46,1,117,4,4,0,,26,4,0.3010033444816054,0.0705521472392638,0.1794478527607362,0.39316239316239315,0.35276073619631904,0.49331103678929766,0.36493082365132695,0.8460717729856166,0.1923076923076923,6.429869914395077,0.3383947939262473,,2.924193757586181,103.13818802677515,28.584301285375386,136.17792569143353,2.924193757586181,,30.329687069099872,11.286948758248087,6.7246320569295985,,,,,,,,948.0999999999998,6.493835616438354,948.0999999999998,6.493835616438354,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Juan Soto","NYM",152,659,514,140,85,24,2,29,106,83,139,12,101,3,3,0,,9,3,0.2723735408560311,0.2109256449165402,0.15326251896813353,1.3762376237623761,0.4279210925644917,0.4961089494163424,0.399265240019956,0.924030041980834,0.22373540856031132,3.999032606224766,0.2868217054263566,,-0.28144146921113133,122.22071989476713,46.86640798896582,163.94721492001003,-0.28144146921113133,,48.67991201756553,-9.164109323600822,6.529336354025263,,,,,,,,1058.2999999999997,6.962499999999999,1058.2999999999997,6.962499999999999,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"José Ramírez","CLE",149,637,558,152,80,38,4,30,93,108,67,13,82,6,6,0,,20,5,0.2724014336917563,0.10518053375196232,0.12872841444270017,0.8170731707317073,0.3532182103610675,0.5161290322580645,0.36654334438916963,0.869347242619132,0.2437275985663082,5.755604215827363,0.26991150442477874,,1.4346300717443228,101.58140271912362,28.742712758584286,142.69173112967982,1.4346300717443228,,32.036681531099944,6.2405350747913,6.134306247151641,,,,,,,,951.1999999999999,6.383892617449664,951.1999999999999,6.383892617449664,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Adley Rutschman","BAL",135,560,478,125,67,39,1,18,83,63,71,0,93,7,4,0,,4,1,0.2615062761506276,0.12678571428571428,0.16607142857142856,0.7634408602150538,0.3625,0.4602510460251046,0.3593844353088311,0.8227510460251046,0.19874476987447698,3.7850900597803774,0.2884097035040431,,-0.19734636647626758,86.11744523036636,22.08343207824385,139.01026866917988,-0.19734636647626758,,24.38562139158478,14.488065652886535,5.9412333111643285,,,,,,,,748.8000000000001,5.546666666666667,748.8000000000001,5.546666666666667,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Yordan Alvarez","HOU",145,613,527,156,79,35,2,40,101,120,76,8,128,6,4,0,,1,1,0.29601518026565465,0.12398042414355628,0.20880913539967375,0.59375,0.38825448613376834,0.5977229601518027,0.415230601090045,0.985977446285571,0.30170777988614805,2.737271046422366,0.31955922865013775,,-0.830459016840905,121.46434316338238,51.369968052219704,177.36393577662207,-0.830459016840905,,52.535752527147636,-15.766460905349794,5.896280855814409,,,,,,,,1080.6000000000001,7.4524137931034495,1080.6000000000001,7.4524137931034495,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Alex Bregman",,142,614,513,140,82,34,1,23,89,94,85,2,74,9,7,0,,2,1,0.2729044834307992,0.13843648208469056,0.12052117263843648,1.1486486486486487,0.3811074918566775,0.4775828460038986,0.3729918646851396,0.8586903378605761,0.2046783625730994,2.890018605037578,0.2765957446808511,,-0.7173796975985169,101.05911304007567,30.850391476855652,147.54427452659303,-0.7173796975985169,,32.13251178569443,4.356025771769547,5.870123481442476,,,,,,,,874.5,6.158450704225352,874.5,6.158450704225352,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Carlos Correa","MIN",139,592,521,144,91,28,1,24,77,79,62,2,117,4,5,0,,0,1,0.2763915547024952,0.10472972972972973,0.19763513513513514,0.5299145299145299,0.3547297297297297,0.472168905950096,0.35811295489133416,0.8268986356798257,0.19577735124760076,1.9837878320029605,0.3116883116883117,,-1.0387371801771224,90.44045679281538,22.747357174857306,136.1761171131783,-1.0387371801771224,,23.060927552739876,13.625573096872426,5.817851696795835,,,,,,,,793.1,5.705755395683453,793.1,5.705755395683453,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Francisco Lindor","NYM",148,649,577,147,93,26,3,25,90,89,58,4,114,7,5,2,,13,5,0.25476603119584057,0.08936825885978428,0.17565485362095531,0.5087719298245614,0.3276661514683153,0.44020797227036396,0.3325571514214179,0.7678741237386792,0.1854419410745234,5.0413872409090885,0.27539503386004516,,-0.023317071609199047,85.97210941765415,11.761262032426478,118.16978583692166,-0.023317071609199047,,13.677323438450278,18.4538802612816,5.717860122019845,,,,,,,,779.4,5.2662162162162165,779.4,5.2662162162162165,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Marcus Semien","TEX",152,686,617,163,96,34,4,29,102,81,62,0,118,3,4,0,,16,5,0.26418152350081037,0.09037900874635568,0.17201166180758018,0.5254237288135594,0.3323615160349854,0.473257698541329,0.3485365361409702,0.8056192145763144,0.20907617504051862,5.604457350092385,0.28270042194092826,,0.5477093760855496,99.58194580504639,21.14027969369633,128.7608222860184,0.5477093760855496,,22.74974307294903,8.900000095367432,5.6011639244563955,,,,,,,,901.1999999999999,5.928947368421052,901.1999999999999,5.928947368421052,,,,,,,,,,,,,,,,,,,"Marcus Semien","12533",543760
