Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",134,593,473,134,66,25,4,39,100,109,104,15,131,11,5,0,,12,3,0.2832980972515856,0.17537942664418213,0.2209106239460371,0.7938931297709924,0.41989881956155145,0.6004228329809725,0.42011147345638605,1.020321652542524,0.31712473572938693,5.515510349033625,0.30844155844155846,,0.5692668491974473,124.605601311381,50.20642584627402,168.7363686185998,0.5692668491974473,,50.78309758910817,0.48886531608935835,7.103082039068191,,,,,,,,1098.6999999999998,8.199253731343282,1098.6999999999998,8.199253731343282,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"José Ramírez","CLE",144,619,537,154,76,42,4,32,98,103,72,4,91,5,5,0,,26,7,0.28677839851024206,0.11631663974151858,0.1470113085621971,0.7912087912087912,0.37318255250403876,0.5586592178770949,0.38991529340666486,0.9318417703811337,0.2718808193668529,6.054549458280034,0.2911694510739857,,1.6847925926558673,114.29894224396796,36.637745594893396,149.73502060245175,1.6847925926558673,,39.61061680857912,4.254397432359788,6.904955326027252,,,,,,,,1031.6000000000001,7.16388888888889,1031.6000000000001,7.16388888888889,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Mookie Betts","LAD",142,654,569,163,92,36,3,32,117,98,75,5,100,4,6,0,,24,4,0.28646748681898065,0.11467889908256881,0.1529051987767584,0.75,0.37003058103975534,0.5289982425307557,0.37842952856113804,0.8990288235705111,0.24253075571177501,6.24310326850067,0.29571106094808125,,2.534658216871321,114.42410880105831,32.371729788950454,139.2969441441205,2.534658216871321,,35.37139757594354,8.17100540544621,6.569053069629706,,,,,,,,1037.4999999999998,7.306338028169012,1037.4999999999998,7.306338028169012,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Alex Bregman",,150,649,546,153,83,38,3,29,97,95,89,2,86,9,5,0,,8,2,0.2802197802197802,0.13713405238828968,0.1325115562403698,1.0348837209302326,0.386748844375963,0.5201465201465202,0.3859642758804274,0.9068953645224832,0.23992673992673996,4.43120645192759,0.28440366972477066,,0.1626116898842156,117.67504532267465,36.24997807671441,147.77077707956062,0.1626116898842156,,38.35607835701792,2.6146266943545706,6.301092318207201,,,,,,,,1014.3000000000001,6.7620000000000005,1014.3000000000001,6.7620000000000005,,,,,,,,,,,,,,,,,,,"Alex Bregman","17678",608324
"Ronald Acuña Jr.","ATL",150,672,570,161,86,30,2,43,134,115,91,4,171,10,1,0,,33,7,0.2824561403508772,0.13541666666666666,0.2544642857142857,0.5321637426900585,0.3898809523809524,0.5684210526315789,0.4032030312600964,0.9583020050125313,0.28596491228070176,6.344254406328719,0.33053221288515405,,2.976871865335852,131.61914848488408,47.308447114644814,151.5458386957824,2.976871865335852,,47.23432124591084,-3.127407197599058,6.086131678639379,,,,,,,,1180.3,7.868666666666666,1180.3,7.868666666666666,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Cody Bellinger","NYY",156,648,561,153,81,29,5,38,99,123,82,14,137,2,3,0,,17,3,0.2727272727272727,0.12654320987654322,0.21141975308641975,0.5985401459854015,0.36574074074074076,0.5454545454545454,0.3775437049309162,0.9111952861952861,0.2727272727272727,5.733284441258314,0.29562982005141386,,1.6168789588846266,112.89005066777649,31.59044577504578,138.7120031217205,1.6168789588846266,,33.66806816120702,4.540952466783069,6.028930973178066,,,,,,,,1041.4999999999998,6.67628205128205,1041.4999999999998,6.67628205128205,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Juan Soto","NYM",151,640,528,161,86,34,4,37,122,141,105,17,107,3,4,0,,16,3,0.30492424242424243,0.1640625,0.1671875,0.9813084112149533,0.4203125,0.5946969696969697,0.419154539536894,1.0150094696969698,0.2897727272727273,5.698497519639172,0.31958762886597936,,1.334351324941963,133.96487930821104,53.66897324131651,163.02676735891006,1.334351324941963,,52.87246328390984,-9.454673816707821,5.933564899731905,,,,,,,,1188.8,7.872847682119205,1188.8,7.872847682119205,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Matt Chapman","SFG",141,592,528,130,58,33,5,34,88,91,54,0,167,7,3,0,,2,2,0.24621212121212122,0.09121621621621621,0.28209459459459457,0.32335329341317365,0.32263513513513514,0.5208333333333334,0.3546611590159906,0.8434684684684686,0.27462121212121215,4.323775189751894,0.2909090909090909,,-0.8469399488531053,91.70495896747893,17.431245855601492,130.9769962958126,-0.8469399488531053,,21.744457030748936,14.7851907207572,5.665724873752536,,,,,,,,824.9999999999999,5.8510638297872335,824.9999999999999,5.8510638297872335,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Francisco Lindor","NYM",154,700,628,168,96,38,2,32,101,88,60,7,106,6,4,2,,20,6,0.267515923566879,0.08571428571428572,0.15142857142857144,0.5660377358490566,0.335243553008596,0.4872611464968153,0.3467815398479854,0.8225046995054113,0.2197452229299363,5.22230910108423,0.27530364372469635,,0.9003564049489796,103.78129054934175,15.957643288675854,122.62636155985886,0.9003564049489796,,21.136896442644456,15.210000038146973,5.406270225188427,,,,,,,,954.4,6.197402597402597,954.4,6.197402597402597,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Anthony Rendon","LAA",137,598,508,143,82,33,2,26,81,94,74,6,89,10,6,0,,3,1,0.281496062992126,0.12374581939799331,0.1488294314381271,0.8314606741573034,0.3795986622073579,0.5078740157480315,0.37601588142884745,0.8874726779553894,0.2263779527559055,3.225139515370703,0.2932330827067669,,-0.34247100353240967,103.40856137179561,28.382074140541043,138.53675283572358,-0.34247100353240967,,28.04707046651074,5.437236928995885,5.390960600688311,,,,,,,,899.2,6.563503649635037,899.2,6.563503649635037,,,,,,,,,,,,,,,,,,,"Anthony Rendon","12861",543685
