IDfg,Season,Name,Projected_H,Projected_2B,Projected_3B,Projected_HR,Projected_R,Projected_RBI,Projected_BB,Projected_SH,Projected_SB,Projected_AB,Projected_PA,Projected_AVG,Projected_OBP,Projected_SLG,Projected_OPS,H,1B,2B,3B,HR,R,RBI,BB,SH,SB,wRC,WAR,G,AB,PA,AVG,BB%,OBP,SLG,OPS,ISO,wRAA,wRC+
12155,2022,Eddie Rosario,111,20,2,20,58,73,29,2,7,431,468,.258,.303,.452,.756,53,35,12,1,5,27,24,17,0,3,20,-1.3,80,250,270,0.212,0.063,0.259,0.328,0.587,0.116,-11.0,63
9929,2022,Darin Ruf,84,17,2,16,46,50,46,1,3,330,383,.255,.349,.464,.813,68,45,12,0,11,52,45,45,0,2,39,-0.7,119,334,388,0.204,0.1159999999999999,0.307,0.338,0.645,0.135,-5.7,89
19610,2022,Keibert Ruiz,58,10,1,9,30,32,20,1,2,225,250,.258,.328,.431,.759,99,70,22,0,7,33,36,30,1,6,46,1.5,112,394,433,0.251,0.069,0.313,0.36,0.673,0.109,-3.7,92
11442,2022,Gary Sanchez,86,14,1,25,57,62,48,1,1,411,468,.209,.302,.431,.733,86,46,24,0,16,42,61,40,0,2,47,1.4,128,419,471,0.205,0.085,0.282,0.377,0.659,0.172,-7.3,88
19913,2022,Jesus Sanchez,72,13,2,14,37,43,29,1,2,298,333,.242,.315,.440,.755,67,37,14,3,13,38,36,26,0,1,36,0.5,98,313,343,0.214,0.076,0.28,0.403,0.682,0.188,-3.2,88
12164,2022,Miguel Sano,105,24,1,29,72,73,55,1,2,460,521,.228,.314,.474,.788,5,4,0,0,1,1,3,9,0,1,1,-0.9,20,60,71,0.083,0.127,0.211,0.133,0.345,0.05,-7.5,8
2396,2022,Carlos Santana,116,19,1,20,72,68,81,1,3,508,598,.228,.336,.388,.724,87,50,18,0,19,52,60,71,0,0,57,0.9,131,431,506,0.202,0.14,0.316,0.376,0.692,0.174,-0.7,102
14551,2022,Anthony Santander,106,25,1,20,57,61,28,2,2,427,464,.248,.299,.452,.751,138,81,24,0,33,78,89,55,0,0,87,2.3,152,574,647,0.24,0.085,0.318,0.455,0.773,0.214,13.3,122
11265,2022,Jonathan Schoop,142,25,2,21,74,71,33,1,2,537,585,.264,.314,.436,.750,97,62,23,1,11,48,38,19,0,5,32,1.3,131,481,510,0.202,0.037,0.239,0.322,0.561,0.121,-26.1,57
17750,2022,Max Schrock,63,12,2,8,34,30,20,1,3,247,272,.255,.314,.417,.731,4,4,0,0,0,1,1,1,0,0,0,-0.3,13,26,27,0.154,0.037,0.185,0.154,0.339,0.0,-3.3,-12
16478,2022,Kyle Schwarber,104,20,1,28,70,68,59,1,2,427,496,.244,.341,.492,.833,126,56,21,3,46,100,94,86,0,10,100,2.1,155,577,669,0.218,0.129,0.323,0.504,0.827,0.286,23.8,129
15351,2022,Frank Schwindel,84,19,1,14,47,45,24,1,3,301,330,.279,.335,.488,.824,62,43,11,0,8,23,36,19,0,0,26,-0.4,75,271,292,0.229,0.065,0.277,0.358,0.635,0.129,-7.4,80
13624,2022,Corey Seager,117,27,2,19,65,68,44,1,2,415,467,.282,.354,.494,.848,145,87,24,1,33,91,83,58,0,3,87,4.4,151,593,663,0.245,0.087,0.317,0.455,0.772,0.211,11.3,117
5933,2022,Jean Segura,133,25,3,13,69,56,38,2,8,492,542,.270,.330,.413,.742,98,79,9,0,10,45,33,25,0,13,47,2.1,98,354,387,0.277,0.065,0.336,0.387,0.723,0.11,3.1,105
12533,2022,Marcus Semien,144,32,3,30,92,78,61,1,10,558,626,.258,.333,.487,.821,163,101,31,5,26,101,83,53,0,25,87,4.4,161,657,724,0.248,0.073,0.304,0.429,0.733,0.181,4.3,107
19293,2022,Nick Senzel,62,13,1,7,36,28,24,1,6,254,283,.244,.312,.386,.698,86,68,13,0,5,45,25,30,2,8,35,-0.7,110,373,420,0.231,0.071,0.296,0.306,0.601,0.075,-12.7,67
14523,2022,Pedro Severino,101,18,1,14,44,53,39,2,2,411,458,.246,.313,.397,.710,4,2,2,0,0,0,1,3,0,0,2,0.0,8,18,21,0.222,0.143,0.333,0.333,0.667,0.111,-0.1,94
19901,2022,Gavin Sheets,64,13,1,13,36,43,26,1,2,258,290,.248,.322,.457,.779,91,57,19,0,15,34,53,27,0,0,46,0.2,124,377,410,0.241,0.066,0.295,0.411,0.706,0.17,-0.6,99
19562,2022,Zack Short,51,10,1,9,34,33,30,1,3,254,292,.201,.285,.354,.640,0,0,0,0,0,2,2,2,0,1,-1,-0.1,6,9,13,0.0,0.154,0.154,0.0,0.154,0.0,-2.1,-41
10847,2022,Andrelton Simmons,101,17,0,6,47,39,32,2,5,421,460,.240,.298,.323,.621,13,12,1,0,0,8,7,7,3,4,3,-0.2,35,75,85,0.173,0.0819999999999999,0.244,0.187,0.431,0.013,-7.2,29
17452,2022,Jose Siri,52,8,1,9,30,29,17,1,5,202,225,.257,.326,.441,.766,64,42,13,2,7,53,24,20,0,14,26,1.8,104,301,325,0.213,0.062,0.268,0.339,0.607,0.126,-10.7,75
16153,2022,Austin Slater,82,15,2,13,48,39,38,1,12,336,381,.244,.329,.417,.746,73,49,15,2,7,49,34,40,0,12,46,2.1,125,277,325,0.264,0.123,0.366,0.408,0.774,0.144,8.9,124
15653,2022,Dominic Smith,117,26,1,16,57,67,38,1,3,449,500,.261,.326,.430,.756,26,15,10,1,0,11,17,12,0,0,11,-0.2,58,134,152,0.194,0.079,0.276,0.284,0.56,0.09,-6.7,65
20242,2022,Kevin Smith,44,8,1,7,25,23,19,1,2,194,218,.227,.304,.387,.691,25,13,9,1,2,9,13,7,3,4,7,0.0,47,139,151,0.18,0.046,0.216,0.302,0.518,0.122,-10.1,46
19892,2022,Pavin Smith,115,22,3,12,61,48,40,1,3,437,484,.263,.329,.410,.739,54,36,9,0,9,24,33,28,0,1,28,0.0,75,245,277,0.22,0.1009999999999999,0.3,0.367,0.667,0.147,-3.5,87
19197,2022,Will Smith,107,21,1,24,69,75,54,1,4,413,487,.259,.357,.489,.846,132,79,26,3,24,68,87,56,0,1,84,4.3,137,508,578,0.26,0.0969999999999999,0.343,0.465,0.807,0.205,17.9,127
19294,2022,Nick Solak,117,20,2,12,61,54,40,2,8,462,518,.253,.326,.383,.709,17,13,1,0,3,14,4,7,1,3,9,-0.1,35,82,95,0.207,0.074,0.309,0.329,0.638,0.122,-1.4,88
8623,2022,Donovan Solano,108,22,1,9,46,45,28,1,2,387,427,.279,.334,.411,.745,79,59,16,0,4,22,24,19,0,0,37,0.5,80,278,304,0.284,0.063,0.339,0.385,0.724,0.101,2.2,99
14221,2022,Jorge Soler,112,25,1,27,68,73,58,1,2,474,548,.236,.326,.464,.790,56,30,13,0,13,32,34,31,0,0,34,0.4,72,270,306,0.207,0.1009999999999999,0.295,0.4,0.695,0.193,-1.2,93
17022,2022,Edmundo Sosa,84,12,3,9,44,35,25,2,5,321,363,.262,.338,.402,.740,40,23,11,4,2,26,21,5,1,6,18,1.3,78,176,190,0.227,0.026,0.275,0.369,0.644,0.142,-4.1,81
20123,2022,Juan Soto,141,25,2,27,97,89,109,1,10,466,580,.303,.435,.539,.973,127,73,25,2,27,93,62,135,0,6,111,3.7,153,524,664,0.242,0.203,0.401,0.452,0.853,0.21,34.9,146
12856,2022,George Springer,99,18,2,25,67,62,46,1,4,375,431,.264,.351,.523,.874,137,86,22,4,25,89,76,54,0,14,86,4.1,133,513,583,0.267,0.093,0.342,0.472,0.814,0.205,19.6,133
13723,2022,Jacob Stallings,97,19,1,11,45,50,45,2,1,399,452,.243,.323,.378,.701,77,61,12,0,4,25,34,29,1,0,30,-0.2,114,346,384,0.223,0.076,0.292,0.292,0.584,0.069,-13.5,66
4949,2022,Giancarlo Stanton,117,20,0,25,58,76,56,1,2,450,515,.260,.345,.471,.816,84,46,7,0,31,53,78,50,0,0,58,1.1,110,398,452,0.211,0.111,0.297,0.462,0.759,0.251,6.2,113
10059,2022,Max Stassi,79,12,1,14,46,43,34,1,2,343,388,.230,.308,.394,.702,60,38,12,1,9,32,30,38,1,0,28,-0.1,102,333,375,0.18,0.1009999999999999,0.267,0.303,0.571,0.123,-15.3,63
17988,2022,Tyler Stephenson,97,20,1,12,55,48,40,1,2,356,406,.272,.352,.435,.788,53,38,9,0,6,24,35,12,0,1,30,1.5,50,166,183,0.319,0.066,0.372,0.482,0.854,0.163,8.8,134
17766,2022,DJ Stewart,73,13,0,14,46,43,47,2,2,334,389,.219,.323,.383,.706,0,0,0,0,0,0,0,0,0,0,0,-0.1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-100
12564,2022,Trevor Story,134,30,5,24,84,69,50,1,19,506,567,.265,.337,.486,.824,85,47,22,0,16,53,66,32,0,13,47,2.5,94,357,396,0.238,0.081,0.303,0.434,0.737,0.196,2.0,100
17620,2022,Myles Straw,125,24,2,6,72,45,54,2,22,481,542,.260,.336,.356,.692,118,93,22,3,0,72,32,54,2,21,43,1.4,152,535,596,0.221,0.091,0.291,0.273,0.564,0.052,-25.0,65
18067,2022,Garrett Stubbs,45,10,1,5,26,23,18,4,2,197,222,.228,.297,.365,.662,28,18,4,1,5,19,16,14,1,2,18,0.7,50,106,121,0.264,0.1159999999999999,0.35,0.462,0.812,0.198,4.3,129
12552,2022,Eugenio Suarez,108,21,1,31,68,77,56,1,2,480,549,.225,.313,.467,.779,128,71,24,2,31,76,87,73,0,0,89,4.3,150,543,629,0.236,0.1159999999999999,0.332,0.459,0.791,0.223,17.2,132
8259,2022,Kurt Suzuki,75,14,0,11,36,42,24,2,2,318,358,.236,.304,.384,.688,25,17,4,0,4,10,15,15,1,0,11,-0.8,51,139,159,0.18,0.094,0.266,0.295,0.561,0.115,-7.0,60
18314,2022,Dansby Swanson,134,30,2,22,80,76,51,2,9,535,598,.250,.320,.437,.757,177,119,32,1,25,99,96,49,0,18,95,6.6,162,640,696,0.277,0.07,0.329,0.447,0.776,0.17,15.3,117
14350,2022,Raimel Tapia,131,24,3,9,65,51,37,2,15,477,522,.275,.328,.394,.722,109,79,20,3,7,47,52,16,3,8,44,0.4,128,411,433,0.265,0.037,0.292,0.38,0.672,0.114,-5.8,91
18900,2022,Leody Taveras,64,13,2,9,37,26,26,3,12,298,329,.215,.281,.362,.644,82,61,14,2,5,39,34,21,1,11,36,1.2,99,314,341,0.261,0.062,0.309,0.366,0.675,0.105,-3.4,93
13757,2022,Chris Taylor,121,26,4,18,76,68,55,2,10,481,549,.252,.334,.435,.768,89,51,25,3,10,45,43,44,0,10,48,1.7,118,402,454,0.221,0.0969999999999999,0.304,0.373,0.677,0.152,-4.3,93
11489,2022,Michael A. Taylor,106,19,1,13,54,51,34,3,11,446,491,.238,.297,.372,.669,105,83,10,3,9,49,43,35,2,4,48,1.8,124,414,456,0.254,0.077,0.313,0.357,0.67,0.104,-4.5,88
13675,2022,Tyrone Taylor,76,15,2,13,42,48,27,1,6,310,347,.245,.318,.432,.750,87,46,21,3,17,49,51,22,0,3,48,2.0,120,373,405,0.233,0.054,0.286,0.442,0.729,0.209,1.5,102
15679,2022,Rowdy Tellez,87,17,1,16,47,50,31,1,2,358,397,.243,.310,.430,.740,116,58,23,0,35,67,89,62,0,2,77,1.1,153,529,599,0.219,0.104,0.306,0.461,0.767,0.242,8.2,110
19318,2022,Matt Thaiss,43,8,0,8,25,24,20,1,2,187,211,.230,.310,.401,.711,15,12,1,0,2,9,8,11,0,1,8,-0.2,29,69,81,0.217,0.136,0.321,0.319,0.64,0.101,-1.5,83
16939,2022,Lane Thomas,71,16,2,11,44,39,39,1,6,299,343,.237,.327,.415,.742,120,75,26,2,17,62,52,41,0,8,62,1.3,146,498,548,0.241,0.075,0.301,0.404,0.705,0.163,-0.9,98
19844,2022,Abraham Toro,86,14,1,12,51,48,34,1,6,368,414,.234,.312,.375,.687,60,36,13,1,10,36,35,22,0,2,23,-0.6,109,324,352,0.185,0.063,0.239,0.324,0.563,0.139,-17.7,63
15905,2022,Luis Torrens,91,19,2,14,44,48,34,2,2,371,410,.245,.310,.420,.730,34,29,2,0,3,13,15,12,0,0,13,-0.5,57,151,166,0.225,0.072,0.283,0.298,0.581,0.073,-6.4,73
16997,2022,Gleyber Torres,117,22,0,17,61,59,48,2,8,446,501,.262,.335,.426,.761,135,82,28,1,24,73,76,39,1,10,74,2.6,140,526,572,0.257,0.068,0.31,0.451,0.761,0.194,8.4,114
19960,2022,Taylor Trammell,54,12,1,11,36,32,27,3,3,255,289,.212,.296,.396,.692,20,7,9,0,4,15,10,13,1,2,12,0.4,43,102,117,0.196,0.111,0.284,0.402,0.686,0.206,-0.9,101
20056,2022,Alan Trejo,49,10,1,7,28,24,19,1,2,201,225,.244,.313,.408,.720,32,22,6,0,4,15,17,5,0,1,15,0.4,35,118,125,0.271,0.04,0.312,0.424,0.736,0.153,1.2,94
16725,2022,Jose Trevino,83,19,0,8,38,39,20,3,2,344,373,.241,.284,.366,.650,83,59,12,1,11,39,43,15,0,2,36,3.8,115,335,353,0.248,0.042,0.283,0.388,0.671,0.14,-4.7,90
16953,2022,Chadwick Tromp,49,8,1,9,28,28,16,1,2,205,226,.239,.298,.420,.717,3,1,2,0,0,0,3,0,0,0,2,0.2,1,4,4,0.75,0.0,0.75,1.25,2.0,0.5,1.7,468
10155,2022,Mike Trout,77,15,2,20,53,51,51,1,4,278,338,.277,.396,.561,.958,124,54,28,2,40,85,80,54,0,1,100,6.0,119,438,499,0.283,0.108,0.369,0.63,0.999,0.347,42.8,176
27459,2022,Yoshi Tsutsugo,73,15,2,13,45,45,41,2,2,333,381,.219,.309,.393,.702,29,23,4,0,2,11,19,19,0,0,8,-1.3,50,170,193,0.171,0.098,0.249,0.229,0.478,0.059,-13.6,36
17326,2022,Cole Tucker,62,12,2,6,36,29,24,2,3,268,297,.231,.297,.358,.656,11,9,1,1,0,3,2,0,0,1,0,-0.8,18,63,63,0.175,0.0,0.175,0.222,0.397,0.048,-6.9,2
18345,2022,Kyle Tucker,138,32,5,25,79,85,49,1,14,489,545,.282,.347,.521,.869,140,81,28,1,30,71,107,59,0,25,88,4.9,150,544,609,0.257,0.0969999999999999,0.33,0.478,0.808,0.221,18.3,130
5235,2022,Justin Turner,130,22,1,22,74,70,52,1,3,483,553,.269,.350,.455,.806,130,81,36,0,13,61,81,50,0,3,75,2.3,128,468,532,0.278,0.094,0.35,0.438,0.788,0.16,14.0,123
16252,2022,Trea Turner,165,32,4,23,94,70,43,1,27,540,593,.306,.360,.507,.868,194,130,39,4,21,101,100,45,0,27,103,6.4,160,652,708,0.298,0.064,0.343,0.466,0.809,0.169,22.4,128
5222,2022,Justin Upton,80,15,0,18,52,51,41,1,3,374,426,.214,.296,.398,.694,6,4,1,0,1,2,3,6,0,0,3,-0.4,17,48,57,0.125,0.105,0.263,0.208,0.471,0.083,-3.6,52
16622,2022,Luis Urias,111,22,2,16,65,63,54,1,5,450,517,.247,.339,.411,.750,97,63,17,1,16,54,47,50,0,1,60,2.4,119,406,472,0.239,0.106,0.335,0.404,0.739,0.165,6.4,110
18795,2022,Ramon Urias,84,16,1,10,41,43,32,1,2,316,355,.266,.344,.418,.761,100,66,17,1,16,50,51,30,3,1,52,2.7,118,403,445,0.248,0.067,0.305,0.414,0.72,0.166,1.2,106
10681,2022,Gio Urshela,118,24,1,16,56,60,29,1,2,431,468,.274,.322,.445,.767,143,100,27,3,13,61,64,41,0,1,73,2.6,144,501,551,0.285,0.074,0.338,0.429,0.767,0.144,9.9,118
15170,2022,Josh VanMeter,74,18,2,10,40,40,38,1,6,333,376,.222,.306,.378,.684,32,22,5,2,3,15,14,19,0,4,13,-0.4,67,171,192,0.187,0.099,0.266,0.292,0.558,0.105,-8.9,56
19918,2022,Daulton Varsho,83,19,3,13,50,44,37,2,7,347,389,.239,.317,.424,.741,125,72,23,3,27,79,74,46,2,16,74,4.4,151,531,592,0.235,0.078,0.302,0.443,0.745,0.207,6.1,106
26197,2022,Andrew Vaughn,94,20,1,14,53,47,39,1,2,386,435,.244,.320,.409,.729,138,92,28,1,17,60,76,31,0,0,71,-0.5,134,510,555,0.271,0.0559999999999999,0.321,0.429,0.75,0.159,7.5,113
9774,2022,Christian Vazquez,118,23,1,13,56,56,36,2,7,457,500,.258,.313,.398,.712,109,77,23,0,9,41,52,22,0,1,50,1.9,119,398,426,0.274,0.052,0.315,0.399,0.714,0.126,0.9,99
14196,2022,Andrew Velazquez,51,11,2,6,33,24,20,4,7,229,255,.223,.290,.367,.656,63,46,8,0,9,37,28,15,6,17,20,0.1,125,322,349,0.196,0.043,0.236,0.304,0.54,0.109,-19.7,49
17027,2022,Alex Verdugo,145,31,2,15,78,59,46,1,7,506,562,.287,.348,.445,.792,166,115,39,1,11,75,74,42,0,1,78,1.1,152,593,644,0.28,0.065,0.328,0.405,0.732,0.125,4.9,102
21558,2022,Matt Vierling,57,10,1,7,30,26,19,1,4,214,239,.266,.332,.421,.752,80,60,12,2,6,41,32,23,0,7,34,0.2,117,325,357,0.246,0.064,0.297,0.351,0.648,0.105,-7.0,82
10071,2022,Jonathan Villar,114,19,2,15,63,47,45,3,20,455,508,.251,.321,.400,.721,42,31,6,2,3,25,18,15,1,7,15,-1.2,59,202,220,0.208,0.068,0.26,0.302,0.562,0.094,-10.5,59
14130,2022,Daniel Vogelbach,68,12,0,15,44,42,52,1,1,310,366,.219,.334,.403,.737,92,54,19,1,18,47,59,73,0,0,67,1.4,130,386,461,0.238,0.158,0.36,0.433,0.793,0.194,14.4,126
5000,2022,Stephen Vogt,66,16,1,10,35,38,30,1,2,304,341,.217,.289,.375,.664,27,15,4,1,7,18,23,17,0,1,13,-0.9,70,168,191,0.161,0.089,0.241,0.321,0.562,0.161,-9.2,62
14811,2022,Luke Voit,85,13,1,19,51,55,38,1,1,336,384,.253,.340,.467,.808,113,69,22,0,22,55,69,55,0,1,66,0.4,135,500,568,0.226,0.0969999999999999,0.308,0.402,0.71,0.176,0.7,103
16686,2022,Jason Vosler,48,11,1,8,30,27,21,1,4,214,241,.224,.300,.397,.697,26,15,6,1,4,14,12,10,0,1,16,0.5,36,98,111,0.265,0.09,0.342,0.469,0.812,0.204,3.4,128
4314,2022,Joey Votto,111,23,1,23,67,66,67,1,3,450,527,.247,.347,.456,.803,66,36,18,1,11,31,41,44,0,0,43,-0.8,91,322,376,0.205,0.1169999999999999,0.319,0.37,0.689,0.165,0.0,92
18126,2022,LaMonte Wade Jr,87,18,3,15,51,50,37,4,6,354,402,.246,.325,.441,.766,45,29,7,1,8,29,26,26,2,1,26,0.1,77,217,251,0.207,0.104,0.305,0.359,0.665,0.152,-2.4,93
15730,2022,Tyler Wade,63,11,1,6,48,27,30,2,15,263,301,.240,.326,.357,.683,32,26,5,0,1,22,8,10,5,8,10,-0.6,67,147,163,0.218,0.061,0.272,0.272,0.544,0.054,-8.2,55
13419,2022,Christian Walker,108,25,1,16,63,56,45,1,3,435,488,.248,.324,.421,.744,141,78,25,2,36,84,94,69,0,2,96,3.9,160,583,667,0.242,0.103,0.327,0.477,0.804,0.235,19.3,122
22458,2022,Taylor Walls,59,14,1,6,31,30,31,2,5,253,288,.233,.321,.368,.688,70,42,18,2,8,53,33,52,2,10,32,-0.5,142,407,466,0.172,0.1119999999999999,0.268,0.285,0.553,0.113,-21.2,65
18607,2022,Jared Walsh,125,27,2,24,63,80,41,1,3,471,522,.265,.328,.484,.812,91,56,18,2,15,41,44,27,0,2,41,-0.8,118,423,454,0.215,0.059,0.269,0.374,0.642,0.158,-11.4,77
19314,2022,Donovan Walton,49,9,1,7,26,27,20,3,3,213,238,.230,.301,.380,.681,12,3,8,0,1,9,8,1,0,0,3,-0.6,25,76,78,0.158,0.013,0.179,0.303,0.482,0.145,-6.3,31
17548,2022,Taylor Ward,76,19,1,9,45,38,30,3,3,307,346,.248,.324,.404,.728,139,92,22,2,23,73,65,60,0,5,88,3.7,135,495,564,0.281,0.106,0.36,0.473,0.833,0.192,23.4,136
13853,2022,Joey Wendle,115,26,4,11,66,50,31,1,10,454,500,.253,.313,.401,.714,90,62,24,1,3,27,32,15,1,12,36,1.1,101,347,371,0.259,0.04,0.297,0.36,0.658,0.101,-6.2,82
19346,2022,Eli White,61,12,1,9,38,29,27,1,5,290,324,.210,.285,.352,.637,21,16,2,0,3,16,10,11,0,12,9,0.6,47,105,117,0.2,0.094,0.274,0.305,0.578,0.105,-4.6,66
19931,2022,Luke Williams,56,11,1,6,27,25,23,1,4,227,254,.247,.320,.383,.703,30,23,5,1,1,21,6,9,0,11,11,0.1,79,127,136,0.236,0.066,0.287,0.315,0.602,0.079,-4.8,66
19931,2022,Luke Williams,56,11,1,6,27,25,23,1,4,227,254,.247,.320,.383,.703,30,23,5,1,1,21,6,9,0,11,11,0.1,79,127,136,0.236,0.066,0.287,0.315,0.602,0.079,-4.8,66
13590,2022,Jesse Winker,118,26,1,22,70,62,53,1,2,428,492,.276,.367,.495,.862,100,71,15,0,14,51,53,84,0,0,64,0.7,136,456,547,0.219,0.154,0.344,0.344,0.688,0.125,1.3,110
13602,2022,Patrick Wisdom,80,14,1,21,50,54,32,1,4,348,388,.230,.301,.457,.758,97,44,28,0,25,67,66,53,1,8,64,1.2,134,469,534,0.207,0.099,0.298,0.426,0.725,0.22,2.8,106
19896,2022,Connor Wong,46,9,2,6,26,24,18,1,2,185,207,.249,.320,.416,.737,9,5,3,0,1,8,7,5,1,0,4,0.0,27,48,56,0.188,0.089,0.273,0.313,0.585,0.125,-2.1,62
12532,2022,Kolten Wong,118,24,3,12,63,50,39,4,13,445,502,.265,.337,.413,.751,108,65,24,4,15,65,47,46,2,17,67,2.3,134,430,497,0.251,0.093,0.339,0.43,0.77,0.179,10.3,117
14854,2022,Mike Yastrzemski,114,27,4,23,75,69,50,2,4,464,527,.246,.326,.470,.796,104,54,31,2,17,73,57,61,1,5,62,1.5,148,485,558,0.214,0.109,0.305,0.392,0.697,0.177,-1.3,99
11477,2022,Christian Yelich,111,21,2,21,75,61,70,1,13,426,504,.261,.369,.467,.836,145,102,25,4,14,99,57,88,1,19,86,2.1,154,575,671,0.252,0.131,0.355,0.383,0.738,0.13,9.5,111
18887,2022,Seby Zavala,50,10,1,9,32,30,19,5,2,225,252,.222,.290,.396,.686,48,32,14,0,2,22,21,19,3,0,26,2.0,61,178,205,0.27,0.093,0.347,0.382,0.729,0.112,2.2,111
16221,2022,Bradley Zimmer,75,12,1,10,46,39,35,1,12,335,388,.224,.318,.355,.673,13,6,5,0,2,18,5,5,1,3,3,-0.3,109,105,117,0.124,0.043,0.207,0.229,0.435,0.105,-10.0,27
13265,2022,Mike Zunino,75,14,2,23,55,55,34,1,1,367,410,.204,.284,.441,.725,17,9,3,0,5,7,16,6,0,0,5,-0.3,36,115,123,0.148,0.049,0.195,0.304,0.499,0.157,-8.9,41
25768,2023,CJ Abrams,82,15,2,6,40,31,16,2,7,324,351,.253,.303,.367,.670,138,86,28,6,18,83,64,32,3,47,69,2.3,151,563,614,0.245,0.052,0.3,0.412,0.712,0.167,-6.2,91
15676,2023,JosÃ© Abreu,148,31,1,20,75,84,51,0,2,535,605,.277,.350,.450,.800,128,86,23,1,18,62,90,42,0,0,61,-0.4,141,540,594,0.237,0.071,0.296,0.383,0.68,0.146,-11.4,87
18401,2023,Ronald Acuna Jr.,116,25,1,21,78,58,57,0,22,433,503,.268,.362,.476,.838,217,137,35,4,41,149,106,80,0,73,156,9.1,159,643,735,0.337,0.109,0.416,0.596,1.012,0.258,66.7,171
15986,2023,Willy Adames,127,31,1,24,74,77,49,0,7,511,564,.249,.314,.454,.768,120,65,29,2,24,73,80,71,0,5,74,3.3,149,553,638,0.217,0.111,0.31,0.407,0.717,0.19,-3.7,94
19864,2023,Riley Adams,57,13,1,8,30,26,26,0,2,258,290,.221,.303,.372,.676,39,20,13,2,4,8,21,11,1,0,23,0.4,44,143,158,0.273,0.07,0.331,0.476,0.807,0.203,3.4,117
20220,2023,Jo Adell,77,15,2,10,35,40,21,1,5,330,357,.233,.287,.382,.668,12,5,3,1,3,7,6,4,0,1,7,0.2,17,58,62,0.207,0.065,0.258,0.448,0.706,0.241,-1.0,86
11342,2023,JesÃºs Aguilar,111,21,0,17,47,66,37,0,2,453,505,.245,.304,.404,.708,23,16,2,0,5,8,9,8,0,0,10,-0.3,36,104,115,0.221,0.07,0.281,0.385,0.665,0.163,-3.5,80
12147,2023,Nick Ahmed,59,14,1,6,29,27,20,1,4,251,274,.235,.293,.371,.664,42,29,10,1,2,14,17,12,0,5,13,0.1,72,198,210,0.212,0.057,0.257,0.303,0.56,0.091,-12.4,50
16556,2023,Ozzie Albies,96,22,2,15,56,56,27,0,9,370,403,.259,.312,.451,.763,167,99,30,5,33,96,109,46,0,13,102,4.1,148,596,660,0.28,0.07,0.336,0.513,0.849,0.233,21.9,125
22277,2023,Nick Allen,75,16,1,7,38,29,25,4,4,331,363,.227,.283,.344,.628,67,57,4,2,4,29,20,17,6,5,20,-0.3,106,303,329,0.221,0.052,0.263,0.287,0.55,0.066,-20.2,54
19251,2023,Pete Alonso,139,24,1,32,78,96,56,0,4,533,606,.261,.340,.490,.830,123,54,21,2,46,92,118,65,0,4,95,2.8,154,568,658,0.217,0.099,0.318,0.504,0.821,0.287,14.9,121
5417,2023,Jose Altuve,138,30,1,23,89,59,54,0,10,505,570,.273,.349,.473,.822,112,72,21,2,17,76,51,44,0,14,75,4.1,90,360,410,0.311,0.107,0.393,0.522,0.915,0.211,25.4,155
26121,2023,Francisco Ãlvarez,46,10,1,6,25,23,18,0,3,186,207,.247,.319,.409,.727,80,43,12,0,25,51,63,34,0,2,48,3.0,123,382,423,0.209,0.08,0.284,0.437,0.721,0.228,-3.1,97
19556,2023,Yordan Alvarez,136,29,2,29,83,88,58,0,2,472,540,.288,.371,.542,.913,120,64,24,1,31,77,97,69,0,0,100,4.3,114,410,496,0.293,0.139,0.407,0.583,0.99,0.29,40.0,170
18289,2023,Brian Anderson,88,16,1,11,45,42,38,0,4,371,418,.237,.319,.375,.694,72,48,12,3,9,38,40,36,0,1,38,0.3,96,318,361,0.226,0.1,0.31,0.368,0.678,0.142,-5.8,86
15172,2023,Tim Anderson,119,20,1,12,65,41,21,0,13,405,431,.294,.334,.437,.771,121,100,18,2,1,52,25,26,0,13,38,-0.2,123,493,524,0.245,0.05,0.286,0.296,0.582,0.051,-25.6,60
8709,2023,Elvis Andrus,119,27,1,11,59,47,35,1,13,500,543,.238,.292,.362,.654,94,67,20,1,6,39,44,25,1,12,40,1.2,112,374,406,0.251,0.062,0.304,0.358,0.662,0.107,-9.5,81
21837,2023,Jonathan Aranda,51,11,1,7,28,24,21,0,3,219,244,.233,.307,.388,.696,20,13,4,1,2,13,13,13,0,0,12,0.1,34,87,103,0.23,0.126,0.34,0.368,0.708,0.138,-0.5,101
13185,2023,Orlando Arcia,71,14,1,10,35,39,27,0,3,294,326,.241,.309,.398,.707,129,87,25,0,17,66,65,39,0,1,66,2.4,139,488,533,0.264,0.073,0.321,0.42,0.741,0.156,1.3,100
9777,2023,Nolan Arenado,138,32,2,25,67,86,45,0,4,520,575,.265,.327,.479,.806,149,95,26,2,26,71,93,41,0,3,79,2.7,144,560,612,0.266,0.067,0.315,0.459,0.774,0.193,4.5,106
22563,2023,Gabriel Arias,49,9,1,6,29,25,22,1,3,202,229,.243,.325,.386,.711,66,41,15,0,10,36,26,28,0,3,30,0.5,122,315,345,0.21,0.081,0.275,0.352,0.628,0.143,-12.2,73
19290,2023,Randy Arozarena,139,33,3,19,75,73,46,0,23,522,583,.266,.337,.450,.787,140,95,19,3,23,95,83,80,0,22,95,3.0,151,551,654,0.254,0.122,0.364,0.425,0.789,0.171,15.3,125
