IDfg,Season,Name,Projected_H,Projected_2B,Projected_3B,Projected_HR,Projected_R,Projected_RBI,Projected_BB,Projected_SH,Projected_SB,Projected_AB,Projected_PA,Projected_AVG,Projected_OBP,Projected_SLG,Projected_OPS,H,1B,2B,3B,HR,R,RBI,BB,SH,SB,wRC,WAR,G,AB,PA,AVG,BB%,OBP,SLG,OPS,ISO,wRAA,wRC+
20003,2022,Keston Hiura,76,16,1,14,43,44,28,2,6,324,365,.235,.313,.420,.733,53,30,8,1,14,34,32,23,0,5,36,0.7,80,234,266,0.226,0.086,0.316,0.449,0.765,0.222,5.1,115
21479,2022,Nico Hoerner,75,14,1,5,37,37,29,1,6,282,319,.266,.342,.376,.718,135,98,22,5,10,60,55,28,0,20,63,4.3,135,481,517,0.281,0.054,0.327,0.41,0.736,0.129,4.0,108
16472,2022,Rhys Hoskins,95,25,1,22,64,63,60,1,3,400,471,.238,.345,.470,.815,145,80,33,2,30,81,79,72,0,2,96,2.4,156,589,672,0.246,0.107,0.332,0.462,0.794,0.216,18.9,123
3516,2022,Eric Hosmer,124,23,1,15,55,70,39,1,4,476,525,.261,.320,.408,.727,102,75,19,0,8,38,44,37,0,0,49,0.6,104,380,419,0.268,0.088,0.334,0.382,0.716,0.113,1.1,104
22209,2022,Sam Huff,49,10,1,8,26,25,18,1,2,187,209,.262,.332,.455,.786,29,21,4,0,4,9,10,11,0,1,14,0.3,44,121,132,0.24,0.083,0.303,0.372,0.675,0.132,-1.4,92
18819,2022,Andy IbÃ¡Ã±ez,79,16,2,10,39,34,23,2,2,306,336,.258,.314,.422,.736,26,21,4,0,1,13,9,9,0,3,8,-0.2,40,119,128,0.218,0.07,0.273,0.277,0.551,0.059,-6.2,59
10231,2022,JosÃ© Iglesias,128,26,2,10,59,53,23,1,5,464,496,.276,.317,.405,.722,128,95,30,0,3,48,47,17,0,2,54,1.3,118,439,467,0.292,0.036,0.328,0.38,0.708,0.089,0.7,87
21523,2022,Jonathan India,117,26,2,17,76,58,55,2,9,441,516,.265,.365,.449,.814,96,68,16,2,10,48,41,31,0,3,51,0.2,103,386,431,0.249,0.072,0.327,0.378,0.705,0.13,1.4,95
21614,2022,Kyle Isbel,56,12,2,7,34,26,21,1,4,216,242,.259,.329,.431,.760,54,35,10,4,5,32,28,16,1,9,22,0.4,106,256,278,0.211,0.0579999999999999,0.264,0.34,0.603,0.129,-9.8,66
17276,2022,Alex Jackson,49,10,1,7,29,27,24,1,2,245,277,.200,.289,.335,.624,3,3,0,0,0,0,0,0,0,0,1,0.0,5,12,12,0.25,0.0,0.25,0.25,0.5,0.0,-0.8,38
16535,2022,Danny Jansen,67,14,1,13,43,42,32,3,1,303,342,.221,.303,.403,.706,56,31,10,0,15,34,44,25,0,1,39,2.7,72,215,248,0.26,0.1009999999999999,0.339,0.516,0.855,0.256,10.6,141
24618,2022,Ryan Jeffers,74,13,1,15,39,43,30,1,2,327,363,.226,.300,.410,.710,44,26,10,1,7,25,27,23,1,0,23,0.8,67,212,236,0.208,0.0969999999999999,0.285,0.363,0.648,0.156,-4.2,86
17484,2022,Eloy Jimenez,92,17,1,19,45,58,26,1,1,346,377,.266,.319,.486,.805,86,58,12,0,16,40,54,28,0,0,53,1.7,84,292,327,0.295,0.086,0.358,0.5,0.858,0.205,15.7,143
16572,2022,Connor Joe,68,13,1,10,34,41,31,1,2,266,306,.256,.339,.425,.764,96,65,20,4,7,56,28,55,0,6,55,0.3,111,404,467,0.238,0.118,0.338,0.359,0.697,0.121,1.5,89
19533,2022,Taylor Jones,57,13,1,7,30,32,18,1,2,236,260,.242,.297,.394,.691,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-100
15640,2022,Aaron Judge,129,21,1,30,79,77,63,1,5,475,547,.272,.360,.509,.869,177,87,28,0,62,133,131,111,0,16,162,11.1,157,570,696,0.311,0.159,0.425,0.686,1.111,0.375,82.1,206
22558,2022,Jarred Kelenic,73,15,1,14,45,46,37,1,6,346,389,.211,.293,.382,.675,23,10,5,1,7,20,17,16,0,5,10,-0.1,54,163,181,0.141,0.088,0.221,0.313,0.534,0.172,-10.4,57
13620,2022,Carson Kelly,87,16,1,16,48,52,44,1,1,361,414,.241,.329,.424,.753,67,42,18,0,7,40,35,29,0,2,31,0.6,104,317,354,0.211,0.0819999999999999,0.282,0.334,0.617,0.123,-9.9,73
14894,2022,Tony Kemp,92,17,3,10,54,40,47,4,7,366,429,.251,.344,.396,.740,117,84,24,2,7,61,46,45,5,11,54,1.4,147,497,558,0.235,0.081,0.307,0.334,0.641,0.099,-9.9,90
12144,2022,Max Kepler,100,23,2,22,67,61,51,1,6,436,498,.229,.316,.443,.759,88,60,18,1,9,54,43,49,0,3,47,1.5,115,388,446,0.227,0.11,0.318,0.348,0.666,0.121,-4.1,94
11038,2022,Kevin Kiermaier,94,19,6,9,54,47,35,1,12,394,438,.239,.307,.386,.692,47,32,8,0,7,28,22,14,0,6,21,0.9,63,206,221,0.228,0.063,0.281,0.369,0.649,0.141,-4.1,89
27506,2022,Ha-Seong Kim,69,15,2,10,36,40,28,3,6,312,349,.221,.291,.378,.669,130,87,29,3,11,58,59,51,3,12,68,3.6,150,517,582,0.251,0.088,0.325,0.383,0.708,0.132,1.5,105
16512,2022,Isiah Kiner-Falefa,147,22,3,9,68,49,34,2,15,554,600,.265,.317,.365,.682,126,102,20,0,4,66,48,35,3,22,50,1.5,142,483,531,0.261,0.066,0.314,0.327,0.642,0.066,-10.4,84
20325,2022,Alex Kirilloff,72,15,1,11,35,42,24,1,3,287,316,.251,.313,.425,.738,36,26,7,0,3,14,21,5,0,0,15,-0.5,45,144,156,0.25,0.032,0.29,0.361,0.651,0.111,-2.9,85
22581,2022,Alejandro Kirk,68,14,1,11,35,37,28,1,2,267,301,.255,.332,.438,.770,134,101,19,0,14,59,63,63,0,0,78,4.3,139,470,541,0.285,0.1159999999999999,0.372,0.415,0.786,0.13,16.1,129
19514,2022,Andrew Knizner,57,12,1,6,33,28,27,1,3,263,297,.217,.301,.338,.639,56,42,10,0,4,28,25,26,1,0,25,0.0,97,260,293,0.215,0.089,0.301,0.3,0.601,0.085,-8.1,77
12371,2022,Tommy La Stella,89,16,1,12,48,44,32,1,2,341,383,.261,.328,.419,.747,43,27,14,0,2,17,14,11,0,0,17,-0.7,60,180,195,0.239,0.0559999999999999,0.282,0.35,0.632,0.111,-5.1,78
21501,2022,Trevor Larnach,72,15,1,10,38,37,34,1,3,307,351,.235,.323,.388,.710,37,19,13,0,5,22,18,18,0,0,20,0.8,51,160,180,0.231,0.1,0.306,0.406,0.712,0.175,-0.1,101
17128,2022,Ramon Laureano,100,23,1,17,58,52,35,1,10,398,449,.251,.327,.442,.770,73,42,18,0,13,49,34,25,0,11,39,0.5,94,346,383,0.211,0.065,0.287,0.376,0.663,0.165,-4.8,94
19952,2022,Khalil Lee,44,9,1,6,26,24,17,1,2,188,209,.234,.303,.388,.691,1,0,0,0,1,1,3,0,0,0,1,0.0,2,2,2,0.5,0.0,0.5,2.0,2.5,1.5,1.2,599
9874,2022,DJ LeMahieu,152,24,2,16,83,66,54,1,5,534,598,.285,.352,.427,.779,122,92,18,0,12,74,46,67,1,4,70,3.1,125,467,541,0.261,0.124,0.357,0.377,0.734,0.116,8.5,115
19508,2022,Kyle Lewis,75,11,0,14,43,37,36,1,5,298,339,.252,.334,.430,.764,8,5,0,0,3,6,5,5,0,0,4,-0.3,18,56,62,0.143,0.081,0.226,0.304,0.529,0.161,-3.5,58
12916,2022,Francisco Lindor,119,23,2,20,72,60,49,4,12,473,534,.252,.326,.436,.761,170,114,25,5,26,98,107,59,0,16,99,6.4,161,630,706,0.27,0.084,0.339,0.449,0.788,0.179,18.0,124
15124,2022,Tim Locastro,61,12,1,6,38,24,21,2,10,262,300,.233,.321,.355,.676,8,5,1,0,2,13,4,2,0,8,3,0.0,38,43,46,0.186,0.043,0.239,0.349,0.588,0.163,-1.8,66
9368,2022,Evan Longoria,88,18,1,15,50,53,35,1,2,357,402,.246,.318,.429,.746,65,38,13,0,14,31,42,27,0,0,39,1.4,89,266,298,0.244,0.091,0.315,0.451,0.767,0.207,4.8,115
21127,2022,Alejo Lopez,47,8,1,6,26,22,17,1,2,190,212,.247,.314,.395,.709,38,31,5,1,1,15,10,9,0,3,15,0.0,61,145,156,0.262,0.0579999999999999,0.314,0.331,0.645,0.069,-2.9,76
